Pulau,Propinsi,Kabupaten,Kependudukan
Dendun,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Dundum,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Gabi,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Gamai,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Gego Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Gego Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Gego,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Gentiing,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Gin Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Gin Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Hangtuah,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Ibul,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Jelak,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Jengkulak,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Jengkulan,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Jitan,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kambat,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kapal,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kapal,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kekip,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kelong,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Kenaong,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kepalatembelan,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kepayang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kera,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kerapu,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kerengga,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Keter Laut,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Keter Tengah,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Kodikain,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Koko,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Koyang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Kunyit,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Lakis,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Larang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Ledang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Lesuh,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Linar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Lintang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Lipih,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Lobam Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Malangbai,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangbelah,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangburuk,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangcenggom,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangdaun,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangelang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malanghantu,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malanghitam,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangjarum,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangjeraha Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangjeraha Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangjeraha,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangkemerang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangladi,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malanglayar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangmarah,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangmerah,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangmusuh,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangnangka Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangnangka Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangorang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangpandan,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangpating,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangpempan,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangpenyusuk,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangperang,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangsama,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangsamar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangsegalah,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangsenggara,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangtelukdalam,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangtempurung,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malangterantau,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Malen Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Malen Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Mana,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Mandariki,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Mangkil Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Mangkil Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Mang'oi,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Manjin Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Manjin Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Manjin,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Manjin,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Mantang,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Mapur,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Mas,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Melibun,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Mempuruh,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Mendara,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Menggirang Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Menggirang Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Mentebung,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Merapas,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Merbai,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Mingki,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Nangka,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Ngalih,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Ngao,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Nibung,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Nikoe,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Nimbul,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Lobam,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Numbing,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Nyirih,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Nyiur Besar,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Nyiur Kecil,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Panau,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Pangkil,KEPULAUAN RIAU,KABUPATEN BINTAN,Berpenduduk
Kubur,BANTEN,KABUPATEN SERANG,Tidak Ada
Lima,BANTEN,KABUPATEN SERANG,Tidak Ada
Pamujan Besar,BANTEN,KABUPATEN SERANG,Tidak Ada
Pamujan Kecil,BANTEN,KABUPATEN SERANG,Tidak Ada
Pisang,BANTEN,KABUPATEN SERANG,Tidak Ada
Sangiang,BANTEN,KOTA TANGERANG SELATAN,Berpenduduk
Cikantung,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Kemanisan,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Tarahan,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Karang Cawene,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Karang Parejakah,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Kali Selatan,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Kali Utara,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Panjang,JAWA TENGAH,KABUPATEN JEPARA,Berpenduduk
Salira,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Semut,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Betingan,BANTEN,KOTA TANGERANG SELATAN,Tidak Ada
Merak Kecil,BANTEN,KOTA CILEGON,Tidak Ada
Merak Besar,BANTEN,KOTA CILEGON,Tidak Ada
Propos,KEPULAUAN RIAU,KABUPATEN KARIMUN,Berpenduduk
PELAMPUNG,KEPULAUAN RIAU,KOTA BATAM,Berpenduduk
BENGKALIS,RIAU,KABUPATEN BENGKALIS,Berpenduduk
SUBI KECIL,KEPULAUAN RIAU,KABUPATEN NATUNA,Berpenduduk
KARIMUN KECIL,KEPULAUAN RIAU,KABUPATEN KARIMUN,Berpenduduk
SIMUK,SUMATERA UTARA,KABUPATEN NIAS,Berpenduduk
MIANGAS,SULAWESI UTARA,KABUPATEN KEPULAUAN TALAUD,Berpenduduk
ENGGANO,BENGKULU,KABUPATEN BENGKULU UTARA,Berpenduduk
NUSAKAMBANGAN,JAWA TENGAH,KABUPATEN CILACAP,Berpenduduk
SEBATIK,KALIMANTAN UTARA,KABUPATEN NUNUKAN,Berpenduduk
MARATUA,KALIMANTAN TIMUR,KABUPATEN BERAU,Berpenduduk
LINGAYAN,SULAWESI TENGAH,KABUPATEN TOLI-TOLI,Berpenduduk
MANTERAWU,SULAWESI UTARA,KABUPATEN MINAHASA UTARA,Berpenduduk
MAKALEHI,SULAWESI UTARA,KABUPATEN SIAU TAGULANDANG BIARO,Berpenduduk
KAWALUSO,SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE,Berpenduduk
BANDO,SUMATERA BARAT,KABUPATEN PADANG PARIAMAN,Tidak Ada
BINTANGUA,SUMATERA BARAT,KOTA PADANG,Tidak Ada
SIRONJONG,SUMATERA BARAT,KABUPATEN PESISIR SELATAN,Tidak Ada
Tangahtiku,SUMATERA BARAT,KABUPATEN AGAM,Tidak Ada
UJUANGTIKU,SUMATERA BARAT,KABUPATEN AGAM,Tidak Ada
PIEH,SUMATERA BARAT,KABUPATEN PADANG PARIAMAN,Tidak Ada
AIE,SUMATERA BARAT,KOTA PADANG,Tidak Ada
BINDALANG,SUMATERA BARAT,KOTA PADANG,Tidak Ada
Kasiak Gadang,SUMATERA BARAT,KOTA PADANG,Tidak Ada
KASIAKBUNGKUS,SUMATERA BARAT,KOTA PADANG,Tidak Ada
KASIAKSIBONTA,SUMATERA BARAT,KOTA PADANG,Tidak Ada
KAWIO,SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE,Berpenduduk
MARORE,SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE,Berpenduduk
Babi,SUMATERA UTARA,KOTA SIBOLGA,Tidak Ada
MARAMPIT,SULAWESI UTARA,KABUPATEN KEPULAUAN TALAUD,Berpenduduk
KAKARUTAN,SULAWESI UTARA,KABUPATEN KEPULAUAN TALAUD,Berpenduduk
Bintanah,SUMATERA UTARA,KABUPATEN NIAS,Tidak Ada
Buaya,SUMATERA UTARA,KOTA TANJUNG BALAI,Tidak Ada
Panjang,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,Tidak Ada
Poncan Gadang,SUMATERA UTARA,KOTA SIBOLGA,Berpenduduk
Poncan Ketek,SUMATERA UTARA,KOTA SIBOLGA,Tidak Ada
Tuantahir,SUMATERA UTARA,KABUPATEN ASAHAN,Tidak Ada
Padang,SUMATERA UTARA,KABUPATEN BATU BARA,Tidak Ada
Simamora,SUMATERA UTARA,KABUPATEN HUMBANG HASUNDUTAN,Tidak Ada
Burung,SUMATERA UTARA,KABUPATEN LABUHAN BATU UTARA,Tidak Ada
Batuah,SUMATERA UTARA,KABUPATEN LABUHAN BATU,Tidak Ada
Harapan Cincin,SUMATERA UTARA,KABUPATEN LABUHAN BATU,Berpenduduk
Ongah Labuhan,SUMATERA UTARA,KABUPATEN LABUHAN BATU,Berpenduduk
Juragan,SUMATERA UTARA,KABUPATEN LABUHAN BATU,Tidak Ada
Porling,SUMATERA UTARA,KABUPATEN LABUHAN BATU,Tidak Ada
Sarimas,SUMATERA UTARA,KABUPATEN LABUHAN BATU,Tidak Ada
Sikantan,SUMATERA UTARA,KABUPATEN LABUHAN BATU,Berpenduduk
Kampai,SUMATERA UTARA,KABUPATEN LANGKAT,Berpenduduk
ALOR,NUSA TENGGARA TIMUR,KABUPATEN ALOR,Berpenduduk
Sigolonggolong,SUMATERA UTARA,KABUPATEN NIAS SELATAN,Tidak Ada
Panjang,SUMATERA UTARA,KABUPATEN LANGKAT,Berpenduduk
Rawa,SUMATERA UTARA,KABUPATEN LANGKAT,Tidak Ada
LIRAN,MALUKU,KABUPATEN MALUKU BARAT DAYA,Berpenduduk
WETAR,MALUKU,KABUPATEN MALUKU BARAT DAYA,Berpenduduk
KISAR,MALUKU,KABUPATEN MALUKU BARAT DAYA,Berpenduduk
MEATIMIARANG,MALUKU,KABUPATEN MALUKU BARAT DAYA,Berpenduduk
MASELA,MALUKU,KABUPATEN MALUKU BARAT DAYA,Berpenduduk
SELARU,MALUKU,KABUPATEN MALUKU TENGGARA BARAT,Berpenduduk
LARAT,MALUKU,KABUPATEN MALUKU TENGGARA BARAT,Berpenduduk
PANAMBULAI,MALUKU,KABUPATEN KEPULAUAN ARU,Berpenduduk
LIKI,PAPUA,KABUPATEN SARMI,Berpenduduk
BEPONDI,PAPUA,KABUPATEN BIAK NUMFOR,Berpenduduk
BRAS,PAPUA,KABUPATEN SUPIORI,Berpenduduk
KOLEPON,PAPUA,KABUPATEN MERAUKE,Berpenduduk
LETI,MALUKU,KABUPATEN MALUKU BARAT DAYA,Berpenduduk
Dua Barat,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Lipan,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Berpenduduk
Sebaru Kecil,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Kapas,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Bundar,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Pantara Timur,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Pantara Barat,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Pabelokan,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Berpenduduk
Gosongrengat,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Yu Kecil,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Jukung,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Saktu,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Kelor Timur,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Kelor Barat,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Cina,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Yu Besar,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Melinjo,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Kayuangin Melintang,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Kayuangin Putri,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Melintang Kecil,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Warbal,MALUKU,KABUPATEN MALUKU TENGGARA,Berpenduduk
Randayan,KALIMANTAN BARAT,KABUPATEN BENGKAYANG,Tidak Ada
Tanjungputus,LAMPUNG,KABUPATEN PESAWARAN,Berpenduduk
Balak,LAMPUNG,KABUPATEN PESAWARAN,Tidak Ada
"Nisa, Na'e",NUSA TENGGARA BARAT,KABUPATEN BIMA,Berpenduduk
Sambergelap,KALIMANTAN SELATAN,KABUPATEN KOTA BARU,Tidak Ada
Poteran,JAWA TIMUR,KABUPATEN SUMENEP,Berpenduduk
Pari,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Berpenduduk
Payung,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Berpenduduk
Madu,SULAWESI SELATAN,KABUPATEN KEPULAUAN SELAYAR,Berpenduduk
Saponda Darat,SULAWESI TENGGARA,KABUPATEN KONAWE,Berpenduduk
Tunda,BANTEN,KABUPATEN SERANG,Berpenduduk
Kalih,BANTEN,KABUPATEN SERANG,Tidak Ada
Panjang,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA BARAT,Tidak Ada
Semujur,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA BARAT,Berpenduduk
Gilinanggu,NUSA TENGGARA BARAT,KABUPATEN LOMBOK BARAT,Tidak Ada
Gilisudaq,NUSA TENGGARA BARAT,KABUPATEN LOMBOK BARAT,Berpenduduk
Gilitangkong,NUSA TENGGARA BARAT,KABUPATEN LOMBOK BARAT,Tidak Ada
Padang,RIAU,KABUPATEN KEPULAUAN MERANTI,Berpenduduk
Merbau,RIAU,KABUPATEN KEPULAUAN MERANTI,Berpenduduk
Gangga,SULAWESI UTARA,KABUPATEN MINAHASA UTARA,Berpenduduk
Kera,NUSA TENGGARA TIMUR,KABUPATEN KUPANG,Berpenduduk
NUHU YUT,MALUKU,KABUPATEN MALUKU TENGGARA,Berpenduduk
Sapeken,JAWA TIMUR,KABUPATEN SUMENEP,Berpenduduk
Bakengkeng,SULAWESI BARAT,KABUPATEN MAMUJU,Tidak Ada
Karampuang,SULAWESI BARAT,KABUPATEN MAMUJU,Berpenduduk
Selaih,KEPULAUAN RIAU,KABUPATEN KEPULAUAN ANAMBAS,Tidak Ada
Melintang Besar,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
SENTUT,KEPULAUAN RIAU,KABUPATEN BINTAN,Tidak Ada
Panjang Atas,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Tongkeng,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Putri Barat,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Putrigundul,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Tidak Ada
Kelapa,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Berpenduduk
Sapudi,JAWA TIMUR,KABUPATEN SUMENEP,Berpenduduk
Semakau Panjang,KEPULAUAN RIAU,KOTA BATAM,Tidak Ada
Sabutung,SULAWESI SELATAN,KABUPATEN PANGKAJENE DAN KEPULAUAN,Berpenduduk
Gilitapan,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,Berpenduduk
Karimata,KALIMANTAN BARAT,KABUPATEN KAYONG UTARA,Berpenduduk
Kubur,LAMPUNG,KOTA BANDAR LAMPUNG,Tidak Ada
Pasaran,LAMPUNG,KOTA BANDAR LAMPUNG,Berpenduduk
Batugurih,LAMPUNG,KABUPATEN LAMPUNG BARAT,Tidak Ada
Pisang,LAMPUNG,KABUPATEN LAMPUNG BARAT,Berpenduduk
Anak Krakatau,LAMPUNG,KABUPATEN LAMPUNG SELATAN,Tidak Ada
Batubolong,LAMPUNG,KABUPATEN PESAWARAN,Tidak Ada
Batugubugseng,LAMPUNG,KABUPATEN LAMPUNG SELATAN,Tidak Ada
Batukauseng,LAMPUNG,KABUPATEN LAMPUNG SELATAN,Tidak Ada
Batukerbau,LAMPUNG,KABUPATEN PESAWARAN,Tidak Ada
Batulegundi Balak,LAMPUNG,KABUPATEN PESAWARAN,Tidak Ada
Batulegundi,LAMPUNG,KABUPATEN PESAWARAN,Tidak Ada
Batumandi Bakauheni,LAMPUNG,KABUPATEN LAMPUNG SELATAN,Tidak Ada
Batumandi,LAMPUNG,KABUPATEN LAMPUNG SELATAN,Tidak Ada
Batumerah,LAMPUNG,KABUPATEN LAMPUNG SELATAN,Tidak Ada
Batuputih,LAMPUNG,KABUPATEN LAMPUNG SELATAN,Tidak Ada
Bengkoang,JAWA TENGAH,KABUPATEN JEPARA,Tidak Ada
Bajo,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI BARAT,Berpenduduk
Gersik,KEPULAUAN BANGKA BELITUNG,KABUPATEN BELITUNG,Berpenduduk
Harapan,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,Berpenduduk
Kondo,NUSA TENGGARA TIMUR,KABUPATEN SIKKA,Tidak Ada
TOKONGMALANGBIRU,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
DAMAR,KEPULAUAN RIAU,,Tidak Ada
MANGKAI,KEPULAUAN RIAU,KABUPATEN KEPULAUAN ANAMBAS,Tidak Ada
TOKONGNANAS,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
TOKONGBELAYAR,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
Tokongboro,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
SEMIUN,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
SEBETUL,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
SEKATUNG,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
SENUA,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
KEPALA,KEPULAUAN RIAU,KABUPATEN NATUNA,Tidak Ada
GOSONG MAKASAR,KALIMANTAN UTARA,KABUPATEN NUNUKAN,Tidak Ada
SAMBIT,KALIMANTAN TIMUR,KABUPATEN BERAU,Tidak Ada
SOLANDO,SULAWESI TENGAH,KABUPATEN TOLI-TOLI,Tidak Ada
DOLANGAN,SULAWESI TENGAH,KABUPATEN TOLI-TOLI,Tidak Ada
BONGKIL / BANGKIT,SULAWESI UTARA,KABUPATEN BOLAANG MONGONDOW UTARA,Tidak Ada
BATUBAWAIKANG,SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE,Tidak Ada
INTATA,SULAWESI UTARA,KABUPATEN KEPULAUAN TALAUD,Tidak Ada
YIEW BESAR,MALUKU UTARA,KABUPATEN HALMAHERA TENGAH,Tidak Ada
MOFF,PAPUA BARAT,KABUPATEN RAJA AMPAT,Tidak Ada
FANI,PAPUA BARAT,KABUPATEN RAJA AMPAT,Tidak Ada
MIOSSU,PAPUA BARAT,KABUPATEN TAMBRAUW,Tidak Ada
FANILDO,PAPUA,KABUPATEN SUPIORI,Tidak Ada
LAAG,PAPUA,KABUPATEN ASMAT,Tidak Ada
ARARKULA,MALUKU,KABUPATEN KEPULAUAN ARU,Tidak Ada
KARAWEIRA / KAREREI,MALUKU,KABUPATEN KEPULAUAN ARU,Tidak Ada
KULTUBAI UTARA,MALUKU,KABUPATEN KEPULAUAN ARU,Tidak Ada
KULTUBAI SELATAN,MALUKU,KABUPATEN KEPULAUAN ARU,Tidak Ada
KARANG,MALUKU,KABUPATEN KEPULAUAN ARU,Tidak Ada
