name,birth_year,death_year,description,ascension_year
Alimin,1889,1964,Pendukung kemerdekaan; politisi; dan tokoh Partai Komunis Indonesia,1964
Amir Hamzah,1911,1946,Penyair dan nasionalis,1975
Andi Depu,1907,1985,Pejuang dan aktivis yang berhasil mempertahankan pengibaran bendera nasional di Mandar pada 1944; padahal dilarang keras,2018
Antasari,1809,1862,Melakukan penyerangan terhadap pasukan kolonial Belanda dalam Perang Banjar,1968
Arie Frederik Lasut,1918,1949,Geolog dan pengajar yang dieksekusi oleh Belanda,1969
Arnold Mononutu,1896,1983,Menteri Penerangan Indonesia ke-6,2020
As'ad Syamsul Arifin,1897,1990,Ulama; tokoh Nahdlatul Ulama,2016
Baabullah,1528,1583,Penguasa ke-24 Kesultanan Ternate,2020
Bagindo Azizchan,1910,1947,Wali kota Padang; melawan pasukan Belanda saat Revolusi Nasional,2005
Basuki Rahmat,1921,1969,Jenderal; saksi dari Supersemar,1969
Bernard Wilhelm Lapian,1892,1977,Nationalis; pimpinan gereja; dan gubernur kedua Sulawesi,2015
Teungku Chik di Tiro,1836,1891,Tokoh Islam Aceh dan pemimpin gerilyawan yang melakukan perlawanan pasukan kolonial Belanda,1973
Tjilik Riwut,1918,1987,Prajurit dan politisi; menawarkan pengembangan ekonomi dan budaya di Kalimantan Tengah,1998
Tjipto Mangoenkoesoemo,1886,1943,Dokter; salah satu dari Tiga Serangkai; Anggota Volksraad; Tokoh Indische Partij,1964
Tjokroaminoto,1883,1934,Politisi; pemimpin Sarekat Islam; mentor pemimpin-pemimpin bangsa seperti Sukarno; Semaoen; Musso; Alimin; Darsono; Kartosoewirjo; dan Tan Malaka,1961
Ernest Douwes Dekker,1879,1950,Jurnalis dan politisi Indo yang membantu kemerdekaan Indonesia; salah satu dari Tiga Serangkai,1961
Depati Amir,1805,1869,Pejuang yang mempersatukan suku Melayu dengan Tionghoa untuk melawan Belanda,2018
Dewi Sartika,1884,1947,Pengajar; mendirikan sekolah untuk perempuan yang pertama di negara tersebut,1966
Cut Nyak Dhien,1850,1908,Pemimpin gerilyawan Aceh yang melakukan penyerangan terhadap pasukan kolonial belanda; istri Teuku Umar,1964
Diponegoro,1785,1855,Putra Sultan Yogyakarta; melangsungkan perang lima tahun melawan pasukan kolonial Belanda,1973
Donald Izacus Panjaitan,1925,1965,Jenderal Angkatan Darat; terbunuh dalam Gerakan 30 September,1965
Eddy Martadinata,1921,1966,Laksamana Angkatan Laut dan diplomat; terbunuh dalam kecelakaan helikopter,1966
Fakhruddin,1890,1929,Pemimpin Islam; menegosiasikan pengamanan pejiarah haji Indonesia; tokoh Muhammadiyah.,1964
Fatmawati,1923,1980,Pembuat bendera nasional pertama; aktivis sosial; istri Sukarno,2000
Ferdinand Lumbantobing,1899,1962,Dokter dan politisi; memperjuangkan hak asasi pasukan buruh,1962
Frans Kaisiepo,1921,1979,Nasionalis Papua yang membantu dalam akuisisi Papua,1993
Gatot Mangkupraja,1896,1968,Aktivis kemerdekaan dan politisi; menyarankan pembentukan Pembela Tanah Air,2004
Gatot Subroto,1907,1962,Jenderal; deputi ketua staff Angkatan Darat,1962
Halim Perdanakusuma,1922,1947,Tokoh awal dalam Angkatan Udara; terbunuh saat Revolusi Nasional,1975
Hamengkubuwono I,1717,1792,Sultan Yogyakarta; melakukan perlawanan terhadap VOC; mendirikan Yogyakarta,2006
Hamengkubuwono IX,1912,1988,Sultan Yogyakarta; aktivis kemerdekaan; pemimpin militer; dan politisi; Wakil Presiden Indonesia kedua,1990
Harun Bin Said,1947,1968,Mengebom MacDonald House saat konfrontasi Indonesia–Malaysia,1968
Hasan Basry,1923,1984,Prajurit selama Revolusi Nasional Indonesia; mendukung integrasi Kalimantan di Indonesia,2001
Hasanuddin,1631,1670,Sultan Gowa; melakukan perlawanan terhadap pasukan kolonial Belanda,1973
Hasyim Asy'ari,1875,1947,Pemimpin Islam; pendiri Nahdlatul Ulama,1964
Hazairin,1906,1975,Sarjana legal; aktivis kemerdekaan; menteri pemerintahan; dan pengajar,1999
Herman Johannes,1912,1992,Insinyur; membuat senjata selama Revolusi Nasional; membantu pendirian Universitas Gadjah Mada; Rektor Universitas Gadjah Mada,2009
Himayatuddin Muhammad Saidi,Abad ke-18,1776,Penguasa ke-20 dan ke-23 Kesultanan Buton,2019
Ida Anak Agung Gde Agung,1921,1999,Aktivis kemerdekaan dan menteri pemerintahan,2007
Idham Chalid,1921,2010,Pemimpin Nahdlatul Ulama; politisi,2011
Ilyas Yakoub,1903,1958,Aktivis kemerdekaan; politisi; dan anggota pasukan gerilyawan,1999
Imam Bonjol,1772,1864,Tokoh Islam dari Sumatra Barat yang melakukan perlawanan terhadap pasukan kolonial Belanda dalam Perang Padri,1973
Radin Inten II,1834,1856,Bangsawan dari Lampung; memimpin revolusi penyerangan penjajah Belanda,1986
Iskandar Muda,1593,1636,Sultan Aceh; memperluas pengaruh negara,1993
Ismail Marzuki,1914,1958,Komposer yang membuat sejumlah lagu kebangsaan,2004
Iswahyudi,1918,1947,Tokoh awal dalam Angkatan Udara; terbunuh saat Revolusi Nasional,1975
Iwa Kusumasumantri,1899,1971,Aktivis kemerdekaan; ahli hukum; dan politisi,2002
Izaak Huru Doko,1913,1985,Aktivis kemerdekaan dan pengajar; membantu pendirian Universitas Udayana,2006
Jamin Ginting,1921,1974,Pejuang kemerdekaan menentang pemerintah Hindia Belanda di Tanah Karo,2014
Janatin,1943,1968,Mengebom MacDonald House saat konfrontasi Indonesia–Malaysia,1968
Jatikusumo,1917,1992,Jenderal Angkatan Darat dan politisi,2002
Andi Jemma,1901,1965,Aktivis kemerdekaan; memimpin penyerangan melawan pasukan Belanda saar Revolusi Nasional,2002
Johannes Abraham Dimara,1916,2000,Pimpinan tentara Papua yang membantu dalam akuisisi Papua,2010
Johannes Leimena,1905,1977,Menteri Kesehatan Pertama; mengembangkan sistem klinik Puskesmas,2010
Juanda Kartawijaya,1911,1963,Politisi Sunda; Perdana Menteri Indonesia terakhir,1963
Karel Satsuit Tubun,1928,1965,Brigadir polisi; terbunuh saat Gerakan 30 September,1965
Kartini,1879,1904,Tokoh hak asasi perempuan Jawa,1964
Ignatius Joseph Kasimo,1900,1986,Aktivis kemerdekaan; pemimpin Partai Katolik,2011
Kasman Singodimedjo,1904,1982,Jaksa yang merupakan ketua KNIP pertama dan menghapus tujuh kata yang berpotensi memecah umat pada Piagam Jakarta,2018
Katamso Darmokusumo,1923,1965,Jenderal Angkatan Darat; terbunuh saat Gerakan 30 September,1965
I Gusti Ketut Jelantik,Tidak diketahui,1849,Pemimpin Bali yang melakukan perlawanan terhadap pasukan kolonial Belanda,1993
I Gusti Ketut Puja,1904,1957,Gubernur Bali pertama,2011
Ki Bagus Hadikusumo,1890,1954,Tokoh Muhammadiyah; aktivis kemerdekaan; tokoh Badan Penyelidik Usaha Persiapan Kemerdekaan Indonesia,2015
Ki Hajar Dewantara,1889,1959,Pengajar dan menteri pemerintahan; mendirikan Taman Siswa; saudara Suryopranoto; salah satu dari Tiga Serangkai,1959
Ki Sarmidi Mangunsarkoro,1904,1957,Pengajar bersama dengan Budi Utomo dan Taman Siswa; menteri pemerintahan,2011
Kiras Bangun,1852,1942,Pemimpin gerilyawan Batak yang melawan penjajah Belanda,2005
Kusumah Atmaja,1898,1952,Ketua Kehakiman Mahkamah Agung Pertama,1965
La Maddukelleng,1700,1765,Bangsawan dari Kesultanan Paser; mengusir pasukan Belanda dari Kerajaan Wajo,1998
Lafran Pane,1922,1991,Pendiri Himpunan Mahasiswa Islam,2017
Lambertus Nicodemus Palar,1900,1981,Diplomat; menegosiasikan pengakuan Indonesia saat Revolusi,2013
John Lie,1911,1988,Laksamana Muda Angkatan Laut; menyeludupkan barang untuk membantu Revolusi Nasional,2009
Machmud Singgirei Rumagesan,1885,1964,,2020
Mahmud Badaruddin II,1767,1852,Sultan Palembang; yang melakukan perlawanan terhadap penjajah Inggris dan Belanda,1984
Sultan Mahmud Riayat Syah,1760,1812,Sultan Johor-Pahang-Riau-Lingga; yang melakukan perlawanan terhadap penjajah Belanda,2017
Malahayati,1550,1604,Pejuang dan bangsawan; melawan pasukan Cornelis de Houtman,2017
Mangkunegara I,1725,1795,Melakukan perlawanan terhadap penjajah Belanda dan antek-anteknya di Jawa Tengah,1988
Andi Mappanyukki,1885,1967,Bangsawan Bugis; memimpin penyerangan melawan pasukan Belanda pada 1920-an dan 30-an; ayah dari Andi Abdullah Bau Massepe,2004
Maria Walanda Maramis,1872,1924,Pendukung hak asasi perempuan dan pengajar,1969
Martha Christina Tiahahu,1800,1818,Gerilyawan dari Maluku yang wafat saat ditahan Belanda,1969
Marthen Indey,1912,1986,Nasionalis dan aktivis kemerdekaan; menawarkan intergrasi Papua di Indonesia,1993
Mas Isman,1924,1982,Pejuang kemerdekaan,2015
Mas Mansur,1896,1946,Sarjana Islam; pemimpin Muhammadiyah,1964
Masykur,1904,1994,,2019
Mas Tirtodarmo Haryono,1924,1965,Jenderal Angkatan Darat; terbunuh saat Gerakan 30 September,1965
Maskun Sumadireja,1907,1986,Aktivis kemerdekaan dan politisi,2004
Cut Nyak Meutia,1870,1910,Pemimpin gerilyawan Aceh yang melakukan perlawanan terhadap pasukan kolonial Belanda,1964
Mohammad Hatta,1902,1980,Aktivis kemerdekaan; Wakil Presiden Indonesia Pertama,2012
Mohammad Husni Thamrin,1894,1941,Politisi dan aktivis kemerdekaan,1960
Mohammad Natsir,1908,1993,Sarjana Islam dan politisi; Perdana Menteri Indonesia kelima,2008
Teuku Muhammad Hasan,1906,1997,Aktivis kemerdekaan; gubernur Sumatra pertama,2006
Muhammad Mangundiprojo,1905,1988,Pejuang kemerdekaan; pemimpin Pertempuran Surabaya,2014
Muhammad Yamin,1903,1962,Penyair yang menjadi politisi dan aktivis kemerdekaan,1973
Moehammad Jasin,1920,2012,Bapak Brimob Kepolisian RI,2015
Muhammad Zainuddin Abdul Madjid,1898,1997,Ulama pendiri Nahdlatul Wathan,2017
Mustopo,1913,1986,Pemimpin saat Pertempuran Surabaya; mendirikan Kampus Kedokteran Gigi Dr. Moestopo,2007
Muwardi,1907,1948,Menangani keamanan saat Proklamasi Kemerdekaan; membangun sebuah rumah saat di Surakarta,1964
Nani Wartabone,1907,1986,Aktivis kemerdekaan dan politisi; membantu memadamkan pemberontakan Permesta,2003
I Gusti Ngurah Made Agung,1876,1906,Raja Badung; melakukan perlawanan terhadap pasukan kolonial Belanda,2015
I Gusti Ngurah Rai,1917,1946,Pemimpin militer Bali saat Revolusi Nasional,1975
Nuku Muhammad Amiruddin,1738,1805,Sultan Tidore; memimpin beberapa pertempuran laut melawan pasukan kolonial Belanda,1995
Noer Alie,1914,1992,Pemimpin Islam dan pengajar; memimpin prajurit saat Revolusi Nasional,2006
Teuku Nyak Arif,1899,1946,Politisi Aceh dan pemimpin perlawanan; gubernur Aceh pertama,1974
Opu Daeng Risaju,1880,1964,Politisi wanita awal; melakukan perlawanan terhadap Belanda saat Revolusi Nasional,2006
Oto Iskandar di Nata,1897,1945,Politisi dan aktivis kemerdekaan,1973
Pajonga Daeng Ngalie,1901,1958,Mengkoordinasikan penyerangan di Sulawesi Selatan saat Revolusi Nasional; menawarkan integrasi nasional,2006
Pakubuwono VI,1807,1849,Susuhunan Surakarta; memberontak melawan pasukan kolonial Belanda,1964
Pakubuwono X,1866,1939,Susuhunan Surakarta; mendukung berbagai proyek untuk kepentingan Pribumi Indonesia,2011
Pangeran Muhammad Noor,1901,1979,Menteri Pekerjaan Umum yang mencanangkan proyek Waduk Riam Kanan; Waduk Karangkates; dan proyek pasang-surut di Sumatra dan Kalimantan sebagai lahan penyedia pangan,2018
Pattimura,1783,1817,Gerilyawan dari Maluku yang melakukan perlawanan terhadap pasukan kolonial Belanda,1973
Pierre Tendean,1939,1965,Prajurit Angkatan Darat; terbunuh saat Gerakan 30 September,1965
Pong Tiku,1846,1907,Bangsawan Toraja; melakukan perlawanan terhadap penjajah Belanda,2002
Raden Mattaher,1871,1907,Pejuang dari Jambi yang melakukan perlawanan terhadap pasukan kolonial Belanda,2020
Raja Ali Haji,1809,ca. 1870,Sejarawan dan penyair dari Riau,2004
Raja Haji Fisabilillah,1727,1784,Pejuang dari Riau yang melakukan perlawanan terhadap pasukan kolonial Belanda,1997
Rajiman Wediodiningrat,1879,1952,Ketua BPUPKI; Ketua Dewan Perwakilan Rakyat pertama,2013
Ranggong Daeng Romo,1915,1947,Memimpin pasukan dalam dua pertempuran melawan pasukan Belanda saat Revolusi Nasional,2001
Rasuna Said,1910,1965,Pendukung hak asasi wanita dan nasionalis,1974
Robert Wolter Monginsidi,1925,1949,Gerilyawan di Makassar saat Revolusi Nasional; dieksekusi oleh Belanda,1973
Ruhana Kuddus,1884,1972,Wartawati Indonesia pertama,2019
Saharjo,1909,1963,Menteri Kehakiman; pelopor pengesahan pembaruan di negara tersebut,1963
Sam Ratulangi,1890,1949,Politisi Minahasa dan pendukung kemerdekaan Indonesia,1961
Samanhudi,1878,1956,Pengusaha; mendirikan Sarekat Islam,1961
Sarjito,1889,1970,Dokter; Akademisi; Rektor pertama Universitas Gadjah Mada,2019
Silas Papare,1918,1978,Memperjuangkan kemerdekaan Papua dari Belanda; menawarkan integrasi Papua di Indonesia,1993
Sisingamangaraja XII,1849,1907,Pemimpin Batak yang melakukan kampanye gerilyawan melawan pasukan kolonial Belanda,1961
Siswondo Parman,1918,1965,Jenderal Angkatan Darat; terbunuh saat Gerakan 30 September,1965
Siti Hartinah,1923,1996,Istri presiden Suharto; aktif dalam karya sosial; mendirikan Taman Mini Indonesia Indah,1996
Siti Walidah,1872,1946,Pendiri Aisyiyah; tokoh Muhammadiyah; istri Ahmad Dahlan;,1971
Slamet Rijadi,1927,1950,Brigadir Jeneral Angkatan Darat; terbunuh ketika putting down pemberontakan di Sulawesi,2007
Soedirman,1916,1950,Komandan Ketua Tentara Nasional Indonesia pada saat Revolusi Nasional.,1964
Albertus Soegijapranata,1896,1963,Uskup Katolik Jawa dan nasionalis,1963
Sugiyono Mangunwiyoto,1926,1965,Kolonel Angkatan Darat; terbunuh saat Gerakan 30 September,1965
Suharso,1912,1971,Pelopor pengobatan prostesis,1973
Soekanto Tjokrodiatmodjo,1908,1993,Kepala Kepolisian Negara Republik Indonesia pertama,2020 
Sukarjo Wiryopranoto,1903,1962,Tokoh kemerdekaan; diplomat; dan politisi,1962
Sukarni,1916,1971,Tokoh kemerdekaan; diplomat; dan politisi,2014
Soekarno,1901,1970,Aktivis kemerdekaan yang membacakan Proklamasi Kemerdekaan; Presiden Indonesia pertama,2012
Sultan Agung,1591,1645,Sultan Mataram; melakukan perlawanan terhadap VOC,1975
Andi Sultan Daeng Radja,1894,1963,Aktivis kemerdekaan dan politisi,2006
Supeno,1916,1949,Menteri pemerintahan; terbunuh ketika perlawanan terhadap Belanda saat Revolusi Nasional,1970
Supomo,1903,1958,Menteri Kehakiman Pertama; membantu penulisan Konstitusi,1965
Suprapto,1920,1965,Jenderal Angkatan Darat; terbunuh saat Gerakan 30 September,1965
Supriyadi,1925,1945,Pemimpin pemberontakan melawan pasukan pendudukan Jepang di Blitar,1975
Suroso,1893,1981,Politisi dan aktivis kemerdekaan; Wakil Ketua BPUPKI; Gubernur pertama Jawa Tengah; Bapak Koperasi Pegawai Negeri Republik Indonesia,1986
Suryo,1896,1948,Gubernur pertama Jawa Timur yang merupakan tokoh sentral Pertempuran Surabaya,1964
Suryopranoto,1871,1959,Pengajar dan tokoh hak-hak buruh; saudara Ki Hajar Dewantara,1959
Sutan Mohammad Amin Nasution,1904,1993,Gubernur Sumatra Utara dan Riau ke-1,2020
Sutan Syahrir,1909,1966,Politisi; Perdana Menteri Indonesia pertama,1966
Soetomo,1888,1938,dokter; pengajar Jawa; mendirikan Budi Utomo,1961
Sutomo,1920,1981,Pemimpin militer yang memimpin perlawanan dalam Pertempuran Surabaya,2008
Sutoyo Siswomiharjo,1922,1965,Jenderal Angkatan Darat; terbunuh saat Gerakan 30 September,1965
Syafruddin Prawiranegara,1911,1989,Gubernur Bank Indonesia pertama,2011
Syam'un,1894,1949,Pejuang yang pernah bergabung dalam PETA dan BKR; serta menentang pemerintahan Hindia Belanda di Banten. Pendiri Pesantren Al-Khairiyah Cilegon; Banten,2018
Syarif Kasim II,1893,1968,Sultan Siak; menawarkan integrasi kerajaan-kerajaan di Sumatra Timur,1998
Tahi Bonar Simatupang,1920,1990,Jenderal yang menjabat sebagai ketua staff dari 1950 sampai 1954,2013
Tuanku Tambusai,1784,1882,Pemimpin Islam dari Riau yang melakukan perlawanan terhadap pasukan kolonial Belanda saat Perang Padri,1995
Tan Malaka,1884,1949,Politisi dan intelektual asal Minang. Ia menyumbangkan gagasannya dalam beberapa karya; terutama Madilog (Materialistik; Dialog; dan Logika). Pendiri Partai Murba; tokoh Partai Komunis Indonesia,1963
Thaha Syaifuddin,1816,1904,Sultan Jambi; memimpin pasukan revolusi melawan pasukan kolonial Belanda,1977
Tirtayasa,1631,1683,Sultan Banten yang melakukan perlawanan terhadap Belanda,1970
Tirto Adhi Suryo,1880,1918,Jurnalis; diasingkan karena editorial anti-Belanda buatannya,2006
Teuku Umar,1854,1899,Pemimpin gerilyawan Aceh yang melakukan perlawanan terhadap pasukan kolonial Belanda; suami Cut Nyak Dhien,1973
Untung Surapati,1660,1706,Memimpin beberapa pemberontakan melawan VOC,1975
Urip Sumoharjo,1893,1948,Pemimpin Angkatan Darat Indonesia; komandan kedua setelah Sudirman,1964
Wage Rudolf Supratman,1903,1938,Komposer lagu kebangsaan Indonesia Raya,1971
Wahid Hasyim,1914,1953,Pemimpin Nahdlatul Ulama; Menteri Agama Indonesia pertama,1964
Wahidin Sudirohusodo,1852,1917,Dokter dan pemimpin di Budi Utomo,1973
Wilhelmus Zakaria Johannes,1895,1952,Pelopor pengobatan radiologi,1968
Yos Sudarso,1925,1962,Komodor Angkatan Laut; terbunuh saat konfrontasi dengan Belanda di Nugini Belanda,1973
Yusuf Tajul Khalwati,1626,1699,Pemimpin Islam; memimpin pemberontakan gerilyawan melawan VOC,1995
Zainal Mustafa,1907,1944,Pemimpin Islam yang melakukan perlawanan terhadap pasukan pendudukan Jepang,1972
Zainul Arifin,1909,1963,Politisi dan gerilyawan; terbunuh saat peristiwa percobaan pembunuhan yang ditargetkan kepada Sukarno,1963
