KodePelabuhan,NamaPelabuhan,LokasiPelabuhan,UnitKerja,AlamatKantor
IUZ,Ujung Jampea,KEPULAUAN SELAYAR,KUPP KELAS III JAMPEA,Jl. Pelabuhan No. 1 Benteng Jampea Sulsel
IWI,Ilwaki,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
IWN,Inawatan,SORONG SELATAN,KUPP KELAS III TAMINABUAN,Jl. Pelabuhan Teminibuan Kab. Sorang Selatan Papua Barat
JAM,Penajam Paser,KUTAI TIMUR,KUPP KELAS II TANAH GROGOT/TANA PASER,Jl. Negara ;Desa Pondong Kec;Kuaro;Kab Paser Kalimantan Timur 76211
JEO,Jeneponto,JENEPONTO,KUPP KELAS III JENEPONTO,Jl. Dermaga Desa Bungeng Kec. Batang Kab. Jeneponto Sulsel 92361
JEP,Jepara,JEPARA,KUPP KELAS II JEPARA,JEPARA
JGN,Yenggarbun,SUPIORI,KUPP KELAS III KORIDO,Jl. Pelabuhan No.1 Korido Supiori Selatan
JIO,Jailolo,HALMAHERA BARAT,KUPP KELAS III JAILOLO,Jl. Pelabuhan jailolo Kab. Halmahera Barat; Maluku Utara 97752
JNT,Jinato,PANGKAJENE KEPULAUAN,KUPP KELAS III JAMPEA,Jl. Pelabuhan No. 1 Benteng Jampea Sulsel
JWA,Juwana,PATI,KUPP KELAS III JUWANA,PATI
KAE,Kabare,RAJA AMPAT,KUPP KELAS II RAJA AMPAT,Jl. Trikora No. 19 Saonek Kab. Raja Ampat Prov. Papua Barat
KAN,Kolonedale,MOROWALI,UPP KELAS III KOLONEDALE,Jl. Pelabuhan No. 1 Kolonedale Sulteng 94671
KAO,Kawaluso,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
KAT,Kalianget,SUMENEP,KSOP KELAS IV KALIANGET,Jl. Komplek Pelabuhan No. 02 Kalianget Sumenep Jawa Timur 69471
KAY,Kuala Jelay,SUKAMARA,KSOP KELAS IV SUKAMARA,Jl. Pelabuhan No. 14 Sukamara Kalimantan Tengah 74172
KBD,Kobisadar,MALUKU TENGAH,KUPP KELAS III BULA,Jl. Pelabuhan Teluk Hatiling Wahai Maluku 97557
KBE,Kereng Bengkirai,KOTA PALANGKA RAYA,KUPP KELAS II RANGGA ILUNG,Jl. Matal No. 18 Kereng Bengkirai Palangkaraya Kalteng 73111
KBH,Kalabahi,ALOR,KSOP KELAS IV KALABAHI,Jl. R.E Marthadinata No. 7 Komp. Pelabuhan Kalabahi - Alor NTT 85813 Telp/Fax. 0386-21417 ksop_kalabahi@dephub.go.id
KDA,Kaledupa,WAKATOBI,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
KDI,Kendari,KENDARI,KSOP KELAS II KENDARI,Jl.Jendral Sudirman NO .68 Rt.01 /Rw.01 Kendari Sulawesi Tenggara 93127
KDL,Kendal,KENDAL,KSOP KELAS I TANJUNG EMAS SEMARANG,Jl. Yos Sudarso No. 30 Kel. Tanjung Emas Kec. Semarang Jateng 50174 Telp/Fax. 024-3852335 ksoptanjungemas@dephub.go.id
KDW,Kendawangan,KETAPANG,KUPP KELAS III KENDAWANGAN,Jl. Rahadi Usman No. 1 Kec. Kendawangan; Ketapang-Kalbar 788862
KEK,Kresek/Kronjo,TANGERANG,KUPP KELAS III KARANGANTU,SERANG
KEM,Kempo,DOMPU,KUPP KELAS III CALABAI,Jl. Raya Pelabuhan Calabahi; Kab. Dompu PO.BOX. 123 Dompu Nusa Tenggara Barat 84200
KGG,Karang Agung,BANYUASIN,KSOP KELAS II PALEMBANG,Banyuasin-Sumatera Selatan
KGQ,Kuala Gaung,ROKAN HILIR,KUPP KELAS III KUALA GAUNG,INDRAGIRI HILIR
KIA,Karimata,SAMBAS,KUPP KELAS III TELUK MELANO,Jl. Gusti Aplos No. 93 Rt.8/Rw;III Kalbar 78853
KIE,Kasipute,BOMBANA,KUPP KELAS III POMALAA,Jl.Protokol No1 Pomala; Kab. Kolaka Prov. Sulawesi Tenggara 93562 (0405) 310241
KII,Kotiti,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
KJA,Karimun Jawa,JEPARA,KUPP KELAS III KARIMUN JAWA,JEPARA
KKG,Kahakitang,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
KKK,P. Kalukalukuang,BONE,KUPP KELAS II MACCINI BAJI,Jl. Pelabuhan BiringKasie Pengkeb Sulsel 90651
KKO,Kao,HALMAHERA UTARA,KUPP KELAS I TOBELO,Jl. Pelabuhan No.1 Tobelo Kab. Halmahera Utara Prov. Maluku Utara
KLM,Kalama,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
KLT,Kalatoa,PANGKAJENE KEPULAUAN,KUPP KELAS III JAMPEA,Jl. Pelabuhan No. 1 Benteng Jampea Sulsel
KMD,Komodo,MANGGARAI BARAT,KUPP KELAS II LABUHAN BAJO,Jl. Yos Sudarso Labuan Bajo NTT 86554
KME,Kuala Mendahara,TANJUNG JABUNG TIMUR,KUPP KELAS III MENDAHARA,-
KND,Kalianda,LAMPUNG SELATAN,KUPP KELAS III TELUK BETUNG,BANDAR LAMPUNG
KNG,Kaimana,KAIMANA,KUPP KELAS III KAIMANA,Jl. Pelabuhan Kaimana; Kaimana Papua Barat 98654
KNN,Kangean,SUMENEP,KUPP KELAS III PELABUHAN SAPEKEN,Jl. Pelabuhan No. 01 Sapeken Suminto; Madura Jatim
KNP,Kintap,TANAH LAUT,KUPP KELAS III KINTAP,Jl. Batu Anting Desa Kintap Kecil Kec. Kintap Kab. Tanah Laut; Kalsel - 70883
KNU,Karangantu,SERANG,KUPP KELAS III KARANGANTU,SERANG
KNY,Kolbano,TIMOR TENGAH SELATAN,KSOP KELAS V TENAU KUPANG,Jl. Yos Sudarso No. 27 Tenau Kupang NTT 85351
KOB,Kobror,KEPULAUAN ARU,KUPP KELAS II DOBO,Jl.Pelabuhan No. 3 Dobo Maluku 97662
KOG,Kroing,MALUKU BARAT DAYA,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
KOK,Kokas,FAKFAK,UPP KELAS III KOKAS,Jl. Rumagesan Komp. Pelabuhan No. 1 Kab. Fak-fak Papua Barat
KOL,Kolaka,KOLAKA,UPP KELAS III KOLAKA,Jl. Dermaga No. 1; Kolaka Sultra 93512
KON,Kakorotan,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
KPE,Kuala Pembuang,SERUYAN,KSOP KELAS III TELUK SIGINTUNG,Jl. AIS Nasution Kuala Pembuang Kalimantan Tengah 74211
KRN,Keramaian,SUMENEP,KUPP KELAS III MASALEMBO,Jl. Raya Pelabuhan No. 1 Masalembu; Sumenep; Jawa Timur - 69492
KSI,Kesui,SERAM BAGIAN TIMUR,KUPP KELAS III GESER,Jl. Pelabuhan Geser; Seram Bagian Timur- Maluku 97594
KSO,Kalbut,SITUBONDO,KUPP KELAS III KALBUT,Jl. Pelabuhan Kalbut Situbondo; Jawa Timur - 68363
KTB,Kotabaru,BARU,KSOP KELAS III KOTA BARU,Jl. Pangeran Indera Kesuma Jaya Komp. Pelabuhan Panjang Kota Baru - Kalsel 72113
KTI,Kertapati,KOTA PALEMBANG,KSOP KELAS II PALEMBANG,Banyuasin-Sumatera Selatan
KTJ,Kuala Tanjung,BATU BARA,KSOP KELAS III KUALA TANJUNG,Jl. Pelabuhan Kuala Tanjung Kec. Sei Suka Kab. Batu Bara Sumatera Utara 21257
KTK,Kuala Tungkal,TANJUNG JABUNG BARAT,KSOP KELAS IV KUALA TUNGKAL,Jl. Kesejahteraan No. 86 Rt.19 Kuala Tungkal Kab. Tanjung Jabung Barat Jambi 36513
KTN,Karatung,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
KTP,Sukabangun Ketapang,KETAPANG,KSOP KELAS IV KETAPANG,Jl. Gajah Mada No. 542 Komplek Pelabuhan Sukabangun Ketapang Kalimantan Barat 78851
KTT,Kadatua,BUTON,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
KTU,Kairatu,SERAM BAGIAN BARAT,KUPP KELAS III KAIRATU,Jl. Kompleks PT. IMJ; Waisarisa Maluku
KUA,Kuala Langsa,KOTA LANGSA,KSOP KELAS IV KUALA LANGSA,Jl. Pelabuhan No. 04 Kuala Langsa NAD 24451 Telp. 0641-23459; Fax. 0641-21663 Email : ad_klgs@yahoo.com / ksopkualalangsa@dephub.go.id
KUJ,Kuala Semboja/Sebulu,KUTAI KERTANEGARA,KUPP KELAS III KUALA SEMBOJA,Jl. Balikpapan Handil II No. 2 Rt. V Kuala Semboja Kaltim 75277
KUM,Kumai,KOTAWARINGIN BARAT,KSOP KELAS IV KUMAI,Jl. Bendahara No. 230 Kumai Kab. Kotawaringin Barat - Kalteng 74181
KUR,Kur,KAB. TUAL,KUPP KELAS II TUAL,Jl.Pidnang Armau No1 Komp.Pelabuhan Tual Maluku 97613
KWG,Kwandang,GORONTALO UTARA,UPP KELAS III KWANDANG,Jl. Komp. Pelabuhan Desa Moluo Kec. Kwandang Gorontalo 96252
KWO,Kawio,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
KWU,Moa,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
KXR,Kisar,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
KYD,Kayuadi,PANGKAJENE KEPULAUAN,KUPP KELAS III JAMPEA,Jl. Pelabuhan No. 1 Benteng Jampea Sulsel
KYU,Kalibaru,JAKARTA UTARA,KSOP KELAS V KALIBARU,Jl. Raya Pelabuhan Kalibaru No. 1 Jakut 14140
LAJ,Labuhan,PANDEGLANG,KUPP KELAS III PELABUHAN LABUHAN,-
LBH,Labuha,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
LBO,Labuan Bajo,MANGGARAI BARAT,KUPP KELAS II LABUHAN BAJO,Jl. Yos Sudarso Labuan Bajo NTT 86554
LEA,Loleo Jaya,HALMAHERA SELATAN,UPP KELAS III OGOAMAS,Jl. Pelabuhan No. 7 Kec. Sojol Utara Kab. Donggala Sulteng
LEI,Leti,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
LEK,Leok,BUOL,UPP KELAS III LEOK,Jl. Syarif Mansyur No. 356 Kel. Leok 1 Kec. Biau Kab. Buol Sulteng 94563
LFA,Maidi,KOTA TIDORE KEPULAUAN,KUPP KELAS III SOA-SIU,Jl. Yos Sudarso Kel. Indonesiana Kota Tidore Kepulauan 97813
LGI,Lagundi,LAMPUNG SELATAN,KUPP KELAS III TELUK BETUNG,BANDAR LAMPUNG
LGN,Lirang,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
LHA,Lahewa,NIAS UTARA,KUPP KELAS III LAHEWA,Jl. Bowo No. 1 Kel. Pasar Lahewa Kab. Nias Utara; Suamtera Utara 22853
LHJ,Labuhan Haji,LOMBOK TIMUR,KUPP KELAS III LABUHAN LOMBOK,Jl. Khayangan Labuhan Lombok Kec. Pringgabaya Kab. Lombok; Timur Nusa Tenggara Barat - 83655
LIG,Teluk Leidong,LABUAN BATU UTARA,KUPP KELAS III LEIDONG,Jl. Bondar No. 79 Liendong Sumatera Utara 21475 Telp. 0623-71071; Fax. 0623-71371 Email : upplaeidong@gmail.com / uppleidong@dephub.go.id
LKA,Larantuka,FLORES TIMUR,KUPP KELAS II LARANTUKA,Flores Timus-Nusa Tenggara Timur
LKK,Legon Bajak,JEPARA,KUPP KELAS III KARIMUN JAWA,JEPARA
LKO,Tanah Ampo,KARANG ASEM,KSOP KELAS IV PADANG BAI,Jl. Didalam Areal Pelabuhan Penyebrangan Padangbai; Bali 80872
LKS,Lerokis,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
LLD,Kedi,HALMAHERA BARAT,KUPP KELAS III JAILOLO,Jl. Pelabuhan jailolo Kab. Halmahera Barat; Maluku Utara 97752
LLL,Lasalimu,BUTON,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
LLO,Labuhan Lombok,LOMBOK TIMUR,KUPP KELAS III LABUHAN LOMBOK,Jl. Khayangan Labuhan Lombok Kec. Pringgabaya Kab. Lombok; Timur Nusa Tenggara Barat - 83655
LMA,Labuhan Maringgai,LAMPUNG TIMUR,KUPP KELAS III LABUHAN MARINGGAI,Muara Gading Mas Labuhan Maringgai Lampung Timur;
LMR,Lembar,LOMBOK BARAT,KSOP KELAS III LEMBAR,Jl. Raya Pelabuhan Lembar; Lombok Barat - NTB 83364
LNA,Langara,KONAWE UTARA,UPP KELAS III LAPUKO,Jl. Pelabuhan No. 25 Langara 93393 P. Wawoni Kab. Konawe Sulawesi Tenggara
LNB,Liana Banggai,BUTON,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
LOR,Lakor,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
LPG,Lipang,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
LPI,Lampia,LUWU TIMUR,KUPP KELAS III MALILI,Jl. Jend. Sudirman No. 16 Kec. Malili Kab. Luwu Timur Sulsel 91981
LPO,Lapuko,KONAWE SELATAN,UPP KELAS III LAPUKO,Jl. Pelabuhan No. 25 Langara 93393 P. Wawoni Kab. Konawe Sulawesi Tenggara
LQA,Leksula,BURU SELATAN,KUPP KELAS III NAMROLE,Jl. Komp. Pelabuhan Leksula; Kec. Leksula Kab. Buru Selatan - Ambon Maluku 97573
LQR,Lakara,KONAWE SELATAN,UPP KELAS III LAPUKO,Jl. Pelabuhan No. 25 Langara 93393 P. Wawoni Kab. Konawe Sulawesi Tenggara
LRG,Lirung,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
LRN,Lurang,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
LRT,Larat,MALUKU TENGGARA BARAT,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
LSG,Loseng,KEPULAUAN SULA,KUPP KELAS II SANANA,Jl.Komplek Pelabuhan Sanana Maluku Utara 97795
LSW,Lhokseumawe/Kreung Geukeh,ACEH UTARA,KSOP KELAS IV LHOKSEUMAWE,Jl. Pelabuhan No. 1 Lhoksumawe 24315 Telp/Fax. 0645-43485 Email : adpel_lsm3@yahoo.co.id / ksoplhokseumawe@dephub.go.id
LTG,Letung,KEPULAUAN ANAMBAS,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
LTU,Lhok Tuan,KOTA BONTANG,KUPP KELAS I LHOK TUAN,Gedung Shipping Lt.1 PT Pupuk Kalimantan Timur -Bontang 75313
LUG,Likupang,MINAHSA UTARA,UPP KELAS III LIKUPANG,Jl. Raya Manado Likupang Sulawesi Utara 95375
LUK,Labuhan Uki,BOLAANG MONGONDO,KUPP KELAS III LABUHAN UKI/INEBONTO,Jl. Pelabuhan No. 128 Desa Labuhan Uki Kec. Loka Kab. Bolaang Mongondow Sulut 95761
LUU,Lameluru,KONAWE UTARA,UPP KELAS III LAPUKO,Jl. Pelabuhan No. 25 Langara 93393 P. Wawoni Kab. Konawe Sulawesi Tenggara
LUW,Luwuk,BANGGAI,KUPP KELAS II LUWUK,Jl. Yos Sudarso No. 1 Kel. Karaton Kec. Luwuk Kab. Banggai Sulteng 94715
LWE,Lewoleba,LEMBATA,KUPP KELAS II LARANTUKA,Flores Timus-Nusa Tenggara Timur
LWI,Laiwui,HALMAHERA SELATAN,KUPP KELAS III LAIWUI,Jl. Komp. Pelabuhan Jikotamo Malut 97792
LWL,Lawele,BUTON,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
MAF,Maffa,HALMAHERA SELATAN,KUPP KELAS III PULAU GEBE/WEDA,Jl. Pulau Fao Kec. Pilau Gebe Kab. Halmahera Tengah Komp. Pelabuhan Gebe; Malut
MAJ,Majene,MAJENE,KUPP KELAS III MAJENE,Jl. Ammana Wewang No. 21 Kab. Majene Sulbar 91411
MAK,Makassar,KOTA MAKASAR,KANTOR OTORITAS PELABUHAN UTAMA MAKASSAR,Jl. Madura No. 1 Makasar - 90173 Telp. 0411-3616444; 3632881; 3632882; Fax. 0411-3616444 Email : op_makassar@yahoo.com / opIV_mks@dephub.go.id
MAT,Marampit,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
MBA,Muara Baru,JAKARTA UTARA,KSOP KELAS V MUARA BARU,Jl. Muara Baru Ujung Pelabuhan Perikanan Samudra Muara Baru; Jakut 14440
MBF,Malbufa,KEPULAUAN SULA,KUPP KELAS II SANANA,Jl.Komplek Pelabuhan Sanana Maluku Utara 97795
MBG,Marabombang,PINRANG,KUPP KELAS II BANGGAI,Jl. Komp. Pelabuhan Banggai Kab. Banggai Kepulauan Sulteng 94791
MBN,Marabatuan,BARU,KUPP KELAS III SEI DANAU/SATUI,Jl. Kuripan No. 5 Rt.24Sungai Danau Satui Kab. Tanah Bumbu Sungai Danau Satui; Kalsel 72175
MCO,Tanjung Moco,KOTA TANJUNG PINANG,KSOP KELAS II TANJUNG PINANG,Jl. SM. Amin No. 18 Kota Tanjung Pinang Kepulauan Riau 29111 Telp/Fax. 0771-21014 ksoptanjungpinang@dephub.go.id
MDA,Midai,NATUNA,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
MDC,Manado,KOTA MANADO,KSOP KELAS III MANADO,Jl. Pelabuhan Manado; Sulawesi Utara 95111 Telp. 0431-867054; Fax. 0431-859721 Email : adpel_manado@yahoo.com / ksop_manado@dephub.go.id
MEA,Mega,TAMBRAUW,KUPP KELAS II RAJA AMPAT,Jl. Trikora No. 19 Saonek Kab. Raja Ampat Prov. Papua Barat
MEE,Malenge,TOJO UNA-UNA,KUPP KELAS III AMPANA,Jl. Yos Sudarso No. 25 Ampana Sulteng 94683
MEH,Menanga,FLORES TIMUR,KUPP KELAS II LARANTUKA,Flores Timus-Nusa Tenggara Timur
MEI,Menui,MOROWALI,UPP KELAS III KOLONEDALE,Jl. Pelabuhan No. 1 Kolonedale Sulteng 94671
MEJ,Mesuji/Lampung,MESUJI,KUPP KELAS III LABUHAN MESUJI,LAMPUNG UTARA
MEL,Pulau Mules,MANGGARAI,KUPP KELAS II REO,Jl. Pelabuhan Reo Kec. Reo Kab. Manggarai Kediri; Nusa Tenggara Timur - 86592
MEN,Pemenang,LOMBOK UTARA,KUPP KELAS II PEMENANG/ TANJUNG,Jl. Pariwisata Gili Indah Pemenang Kab. Lombok Utara; Pemenang NTB 83352
MEQ,Meulaboh,ACEH BARAT,KSOP KELAS IV MEULABOH,Jl. T. Chik Ditiro No. 17 Meulaboh; Aceh Barat NAD 23611 Telp/Fax. 0655- 7551443 Email : adpelmeulaboh@yahoo.com / ksopmeulaboh@dephub.go.id
MGA,Menggala,TULANG BAWANG,KUPP KELAS III MENGGALA,TULANG BAWANG
MGR,Mangarang,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
MGS,Miangas,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
MHE,Mahaleta,MALUKU BARAT DAYA,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
MIG,Manitingting,HALMAHERA TIMUR,KUPP KELAS III BULI,Jl;. Pelabuhan Buli Kec. Maba Kab. Halmahera Malut
MII,Maccini Baji,BULUKUMBA,KUPP KELAS II MACCINI BAJI,Jl. Pelabuhan BiringKasie Pengkeb Sulsel 90651
MJU,Mamuju,MAMUJU,KUPP KELAS I MAMUJU,Jl. Yos Sudarso No. 2 Mamuju Kab. Mamuju Sulbar 91511
MKA,Muara Angke,JAKARTA UTARA,KSOP KELAS IV MUARA ANGKE,Jl. Dermaga No. 1 Pelabuhan Muara Angke Jakut 14450
MKH,Makalehi,KEPULAUAN SANGIHE,KUPP KELAS III ULU SIAU,Jl. Komp. Pelabuhan Ulu Siau Kel. Tatahadeng Kec. Siau Timur Kep. Tagulandang; Biaro Sultra 95861
MKI,Malakoni/P. Enggano,BENGKULU UTARA,KUPP KELAS III MALAKONI-ENGGANO,BENGKULU SELATAN
MKQ,Merauke,MERAUKE,KSOP KELAS IV MERAUKE,Jl. Sabang No. 312 Merauke - Papua 99613
MKT,Munte/Likupang Barat,MINAHSA UTARA,UPP KELAS III LIKUPANG,Jl. Raya Manado Likupang Sulawesi Utara 95375
MKW,Manokwari,MANOKWARI,KSOP KELAS IV MANOKWARI,Jl.Banjarmasin No 6 Monokwari Papua Barat 98311
MKX,Makian,HALMAHERA SELATAN,KUPP KELAS III SOA-SIU,Jl. Yos Sudarso Kel. Indonesiana Kota Tidore Kepulauan 97813
MLA,Teluk Malala,DONGGALA,UPP KELAS III OGOAMAS,Jl. Pelabuhan No. 7 Kec. Sojol Utara Kab. Donggala Sulteng
MLD,Tarakan,,KSOP KELAS III TARAKAN,Jl. Yos Sudarso No. 8 Lingkas Ujug Tarakan Kalimantan Utara 77126
MLE,Mandopolo/Jojame,HALMAHERA SELATAN,KUPP KELAS III LAIWUI,Jl. Komp. Pelabuhan Jikotamo Malut 97792
MLG,Maligano,MUNA,KUPP KELAS II RAHA,Jl. Pelabuhan No. 1 Raha Sulawesi Tenggara 93611
MLH,Malahayati,ACEH BESAR,KSOP KELAS IV MALAHAYATI,Jl. Patimura No. 89 Kel. Sukaramai Blower; Banda Aceh Telp/Fax. 0651-48555 Email : adpelmalahayati@yahoo.com / ksopmalahayati@dephub.go.id
MLI,Malili (Sungai),LUWU TIMUR,KUPP KELAS III MALILI,Jl. Jend. Sudirman No. 16 Kec. Malili Kab. Luwu Timur Sulsel 91981
MLO,Malarko,KARIMUN,KSOP KELAS I TANJUNG BALAI KARIMUN,-
MLS,Marlasi,KEPULAUAN ARU,KUPP KELAS II DOBO,Jl.Pelabuhan No. 3 Dobo Maluku 97662
MLW,Molawe,KONAWE UTARA,UPP KELAS III LAPUKO,Jl. Pelabuhan No. 25 Langara 93393 P. Wawoni Kab. Konawe Sulawesi Tenggara
MMA,Maumbawa,NGADA,KSOP KELAS IV ENDE,Jl. Adi Sucipto Ippi Ende NTT 86316
MMO,Mamboro,SUMBA TENGAH,KUPP KELAS III WAIKELO,Jl. Waikelo Kec. Luara Kab. Sumba Barat Waikelo; Nusa Tenggara Timur - 87254
MMR,Moor,MAPPI,KUPP KELAS III BADE,Jl. Pelita No. 32 Distrik Edera; Bade Kab. Mappi-Papua 99653
MMU,Mumugu,ASMAT,KUPP KELAS III AGATS,Jl. Pelabuhan Baru No. 1 Agats Kab. Asmat Papua
MNB,Teluk Melano/Teluk Batang,KAYONG UTARA,KUPP KELAS III TELUK MELANO,Jl. Gusti Aplos No. 93 Rt.8/Rw;III Kalbar 78853
MNP,Manipa,SERAM BAGIAN BARAT,KUPP KELAS III KAIRATU,Jl. Kompleks PT. IMJ; Waisarisa Maluku
MOF,Maumere /Laurentius Say,SIKA,KSOP KELAS IV LAURENTIUS SAY/MAUMERE,Jl. R. E Marthadinata No. 7 Maumere - Nusa Tenggara Timur 86113
MOI,Moti,KOTA TERNATE,KUPP KELAS III SOA-SIU,Jl. Yos Sudarso Kel. Indonesiana Kota Tidore Kepulauan 97813
MOT,Marapokot,NAGEKO,KUPP KELAS III MARAPOKOT,Jl. Pelabuhan Marapokot No. 01 Marapokot Nusa Tenggara Timur 86472
MOU,Moru,ALOR,KUPP KELAS III BARANUSA,Jl.Komp. Pelabuhan Baranusa Nusa Tenggara Timur
MPC,Muko-Muko,MUKO-MUKO,KUPP KELAS II LINAU/BINTUHAN,Jl. Pelabuhan Linau Bintuhan Kab. Kaur Bengkulu 38565
MPG,Muara Padang,KOTA PADANG,KSOP KELAS II TELUK BAYUR,Jl. Tanjung Priok No. 4 Teluk Bayur Sumatera Barat 25217
MPH,Mempawah,KETAPANG,KSOP KELAS II PONTIANAK,Jl. Rahadi Usman No. 2 Pontianak Kalimantan Barat
MRE,Marore,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
MRG,Maritaing,ALOR,KUPP KELAS III BARANUSA,Jl.Komp. Pelabuhan Baranusa Nusa Tenggara Timur
MRL,Marsela,MALUKU BARAT DAYA,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
MRP,Mataritip,BERAU,KUPP KELAS II TANJUNG REDEP,Jl. P. Antasari No. 27 Rt.01/Rw.01 Tanjung Redep Kaltim 77312
MRT,Meranti/Dorak,PULAU MERANTI,KSOP KELAS IV SELAT PANJANG,Jl. Pelabuhan No. 2 Selat Panjang Riau 28753
MSI,Masalembo,SUMENEP,KUPP KELAS III MASALEMBO,Jl. Raya Pelabuhan No. 1 Masalembu; Sumenep; Jawa Timur - 69492
MSK,Muara Sabak,TANJUNG JABUNG TIMUR,KSOP KELAS IV MUARA SABAK,Jl. Syahbandar No. 5 Jambi
MSN,Mansinam,MANOKWARI,KSOP KELAS IV MANOKWARI,Jl.Banjarmasin No 6 Monokwari Papua Barat 98311
MSR,Matasiri,BARU,KUPP KELAS III SEI DANAU/SATUI,Jl. Kuripan No. 5 Rt.24Sungai Danau Satui Kab. Tanah Bumbu Sungai Danau Satui; Kalsel 72175
MTT,Matutuang,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
MUE,Maurole,ENDE,KSOP KELAS IV ENDE,Jl. Adi Sucipto Ippi Ende NTT 86316
MUG,Moutong,PARIGI MOUTONG,KUPP KELAS III PARIGI,Jl. Pelabuhan Parigi No. 92 Kec. Parigi Kab. Donggala Parigi Palu Sulteng 94371
